web-scraper-order,web-scraper-start-url,post,post-href,date,content,image-src
"1523236549-246","https://doublelist.com/view/los_angeles/cw4m/","Tomboy for guy","https://doublelist.com/ads/406657258.html","04/07/2018","40s lez with a streak of bi seeks nsa with able bodied man. Perhaps some anal play? Tomboy- all girl where it matters .. plz include pic or no reply. Ive got a room...",""
"1523236339-204","https://doublelist.com/view/los_angeles/cw4m/","tall busty blonde you host","https://doublelist.com/ads/137463618.html","04/07/2018","Sensual busty blonde looking for down to earth generous gentleman for him the experience of a lifetime. I am real and so are my pics so you must be willing to verify. No games please",""
"1523236329-202","https://doublelist.com/view/los_angeles/cw4m/","let's play ready now..","https://doublelist.com/ads/121355317.html","04/07/2018","Real and ready to get together
your place or mine 
i can come to you or you can come to me
anything goes . Cummplay 
hit me up thanks sara",""
"1523236264-189","https://doublelist.com/view/los_angeles/cw4m/","tna verified","https://doublelist.com/ads/892133005.html","04/07/2018","Hi gentleman 

are you looking for some company this afternoon 

i would love to come hang out 
lets get together. I am very fun, 100% real and verified",""
"1523236359-208","https://doublelist.com/view/los_angeles/cw4m/","Let's have some fun","https://doublelist.com/ads/137079931.html","04/07/2018","",""
"1523236414-219","https://doublelist.com/view/los_angeles/cw4m/","Chubby Wants a Fuck Buddy -","https://doublelist.com/ads/534144948.html","04/06/2018","I'm in need of a guy who knows how to fuck. Age race body type doesn't matter in fact I've been wanting to fuck an older man for a while.!.....send me ur number",""
"1523236419-220","https://doublelist.com/view/los_angeles/cw4m/","Want to pleasure older man","https://doublelist.com/ads/573583458.html","04/06/2018","Looking for an older man to have fun with. I'm 29, female, cute and horney. I love bigger body type men, but any size is fine, any older age is great. 45 to anything, is what I want. Dont be shy, I'm the shy one ;) very sexually open, you'd be surprised of what my fetishes are. Just reply and we will talk ;).......",""
"1523236494-235","https://doublelist.com/view/los_angeles/cw4m/","For sex anyone...!!!","https://doublelist.com/ads/754275234.html","04/06/2018","I am looking to have some fun. Gott sneak away from the friend. If anyone's interested in some car action let me know.","https://doublelist.com/photos/13023/"
"1523236569-250","https://doublelist.com/view/los_angeles/cw4m/","Suck your thick cock ;)","https://doublelist.com/ads/103880933.html","04/07/2018","I'm in Santa Monica Monday-Friday all day for work but can step away for a bit when I want to. Would love to find a thick cock to suck and then maybe on a regular basis ;) Must be clean and must be able to host in Santa Monica only",""
"1523236529-242","https://doublelist.com/view/los_angeles/cw4m/","Horny Woman looking for big cock","https://doublelist.com/ads/398399337.html","04/06/2018","Never had a big one and i really want to try. Im quite tight ive been told. Love rough sex. I can host. Into lots of things. Must be disease and drug free",""
"1523236459-228","https://doublelist.com/view/los_angeles/cw4m/","Petite Latina","https://doublelist.com/ads/832218279.html","04/06/2018","Looking to meet up and have some nsa fun. I’m very real and just need the release from the stress at home. 
I’m 28, thick, petite, and really eager to get fucked. You would have to be able to host/or hotel. 

Please reply with a Pic ( not dick pic) or I won’t answer.",""
"1523236594-255","https://doublelist.com/view/los_angeles/cw4m/","Thick/bbw with tight pussy","https://doublelist.com/ads/207290432.html","04/08/2018","Early 20s thick body with a tight Pussy and big boobs. Looking for someone who knows how to pleasure. Also a big dick would be great. 
No picture no reply!
Change the subject too your favorite emoji ??",""
"1523236394-215","https://doublelist.com/view/los_angeles/cw4m/","Mature SWF iso SBM","https://doublelist.com/ads/771577340.html","04/07/2018","I guess this is the new CL personals. Looks the same as CL did but without the cool search filters. Guess the IT folks are just getting things going which means this place is shiny and new. No spam yet. 

But i have noticed that you who used to post on CL are still using the same templates as before. Why not throw away the old and start afresh?

Anyhoo...sorry for the rant. Lol

Im looking for a mature Single Black man who needs some sexual and sensual play with a white mature woman. 

I like men who are at least 40 and sexually open. Im fetish friendly hoping to find someone who loves eating ass AND pussy. Yes both. 

Im 5'4"", 145#, average shape, short curly hair, shaved, educated. 

Please be able to host in LB. 

No firstimers please. 

Send your full stats (age, height, weight, marital, ethnicity) and a pic and let's get started. 

Its the last day of March.",""
"1523236464-229","https://doublelist.com/view/los_angeles/cw4m/","Friends__Meetnow__Fuck me?","https://doublelist.com/ads/880894250.html","04/06/2018","Hello boys I'll be home alone for a couple hours and want to host old or overweight guys. Only cute face.",""
"1523236509-238","https://doublelist.com/view/los_angeles/cw4m/","Divorced older woman looking for pusssyeater.!!","https://doublelist.com/ads/144063722.html","04/06/2018","Older woman Just want a guy or girl to go down and eat my pussy,im Clean, shaved and sweet.
 Must be attractive, and I will return the favor.Any race & age are fine. so send your number.............",""
"1523236279-192","https://doublelist.com/view/los_angeles/cw4m/","kathy linda","https://doublelist.com/ads/645420100.html","04/07/2018","Soy kathy lily la chica que que tanto esperas sabes quien soy real como siempre espero por ti amor",""
"1523236489-234","https://doublelist.com/view/los_angeles/cw4m/","Japanese woman looking for sex with a boyfriend or longterm lover","https://doublelist.com/ads/558470350.html","04/06/2018","Hi, I'm ready for you... 32 year old Japanese woman (now living in Los Angeles) wants a man who finds her sexually desirable for all types of hardcore sex fun things.

Would you enjoy making this a reality soon, for example - I love watching girl on girl lesbian porn. Would you like to watch me masturbate myself while watching lesbian porn, or even girl on guy xxx porn? Then we can take things further....

Sex with a total stranger is totaly different from sex with a boyfriend or longterm lover. I want that excitement of a total stranger laying his hands on me and his hands going everywhere, exploring every part of my body, touching my sex and my soul.

I like to Roleplay and see where your/my secret fantasies lay. Imagine revealing your desires to me. You know how good it would feel to share those naughty details with a woman like me.",""
"1523236344-205","https://doublelist.com/view/los_angeles/cw4m/","miracle","https://doublelist.com/ads/393438274.html","04/07/2018","Hey babe 
i'm a creole european mix black
give me a call hun let's talk i'm just your average girl trying to get to know you and have a little fun. Don't waste our time",""
"1523236374-211","https://doublelist.com/view/los_angeles/cw4m/","sexy girl for sexy guy","https://doublelist.com/ads/337665785.html","04/07/2018","Hi I'm a cute girl looking for an attractive guy that's fit or close to it. Somebody to become great friends with that mess around too.",""
"1523236284-193","https://doublelist.com/view/los_angeles/cw4m/","hello","https://doublelist.com/ads/546348452.html","04/07/2018","Good evening,
hello there and how are you doing on this fantastic sunday the early bird always gets the worm. Mistress trina",""
"1523236454-227","https://doublelist.com/view/los_angeles/cw4m/","Couple wants 3rd to join","https://doublelist.com/ads/726689809.html","04/06/2018","Looking for a mature man between the ages of 45-60 to have some day time fun please be able to host and please be real. Looking for someone now. We won't respond to replies without a G Rated facial pic No Nude pics they will all be deleted. Thanks and happy hunting.",""
"1523236314-199","https://doublelist.com/view/los_angeles/cw4m/","hey","https://doublelist.com/ads/835547933.html","04/07/2018","Hey young mixed sensation looking for fun. Come let me make you feel good, can host and im available to see you right now im ready for you to do me dirty reasonable rates hmu for more info",""
"1523236254-187","https://doublelist.com/view/los_angeles/cw4m/","remember when","https://doublelist.com/ads/628161954.html","04/07/2018","I loved the old days when you could contact each other and say can you come over and play today or do you want to have a sleepover 
we could laugh and giggle freely. Tickling each other was always fun too. Being spontaneous was a must. Wanna relive those times 
it's ok to have fun. Be over 40 be serious be real",""
"1523236309-198","https://doublelist.com/view/los_angeles/cw4m/","kisses below","https://doublelist.com/ads/295067219.html","04/07/2018","Hey i'm london 
want to slip into something warm 
i'm here and waiting 
come see these amazing things i can do
very sweet and tasty",""
"1523236354-207","https://doublelist.com/view/los_angeles/cw4m/","condom needed.","https://doublelist.com/ads/787347165.html","04/07/2018","I am 24 years young. I'm looking for preferably a white guy to have sex with no strings attached . Condom needed..",""
"1523236289-194","https://doublelist.com/view/los_angeles/cw4m/","23yr young married woman needs sex","https://doublelist.com/ads/478202357.html","04/06/2018","i am 23 married not getting it at home love my husband but i need sex regular. I am very attractive like anal any race is fine prefer someone close to my age who can host. Send pictures and way to contact. I will send pictures to you then...... Send me your number..........",""
