web-scraper-order,web-scraper-start-url,post,post-href,date,content,image-src
"1523236890-263","https://doublelist.com/view/baltimore/cw4m/","Looking for some quick fun tonight!","https://doublelist.com/ads/584677396.html","04/07/2018","Hi I'm looking for a good relaxing time with a fun and cool person today. I want to suck and fuck a thick cock. All races welcome. Looking for a discreet laid back person to meet with email me for pics and other info.",""
"1523236950-275","https://doublelist.com/view/baltimore/cw4m/","Wanna fuck me tonight tommorrow","https://doublelist.com/ads/275870884.html","04/07/2018","Hey there im horny and lookin to get fucked right now. I can come to you. Any takers.................?",""
"1523236885-262","https://doublelist.com/view/baltimore/cw4m/","Want to enjoy some Adult fun?","https://doublelist.com/ads/247788432.html","04/07/2018","Come lay with me!!!! In my Bed.
Just reply and we can work out on how we can enjoy some adult fun. I am available anytime tomorrow. I love to eat a dick just as much as having sex. Let's work out the details.",""
"1523236910-267","https://doublelist.com/view/baltimore/cw4m/","Mom sex  doggy Style  & More Fun~!","https://doublelist.com/ads/689328378.html","04/07/2018","Single ebony female looking for a ""friend"" who has his stuff together. I have my own place and I have a job. I'm looking for someone who is chill, doesn't play games and someone who doesn't want a relationship. Reply  me...",""
"1523236960-277","https://doublelist.com/view/baltimore/cw4m/","After 6pm Quick Fuck Tonight..!!","https://doublelist.com/ads/592712735.html","04/07/2018","Any guys up for some adult fun tonight. I am just at home, watching a movie, and feeling very horny. I am single. I dont want to change that. I am also 30, so be cool with older. I like college men and guys who work outside for a living. Come warm up.",""
"1523236875-260","https://doublelist.com/view/baltimore/cw4m/","I just want a fuck BUDDY","https://doublelist.com/ads/346286255.html","04/07/2018","Im 5'7"" blonde hair green eyes 145pounds.Im an average girl.A B cup and I think I have a nice ass.I just want someone who can make me cum and is looking for a fuck buddy :) Hmu,no fakes or weirdos please",""
"1523236900-265","https://doublelist.com/view/baltimore/cw4m/","Come & eat my pussy ass","https://doublelist.com/ads/363934889.html","04/07/2018","Is it so hard to find a guy that will eat me out and then wanna watch a movie after I cum....I can do sex too but I need my pussy eaten and I wanna cuddle up...I'm a thick girl.....",""
"1523236920-269","https://doublelist.com/view/baltimore/cw4m/","Mommy for Muscle Milk","https://doublelist.com/ads/120297863.html","04/07/2018","Married mom looking to have fun when I have the house to myself.
caucasian, curvy/big, dark hair

I have a thing for big muscular men and love massaging them and going down on them... any super studs who think they fit the bill feel free to message me with a pic and we will figure out when you can come over and feed me that muscle milk. Yes I swallow, I want to. Thats kind of the whole point!

I won't be responding at all if you aren't muscular. Sorry, I have an average husband at home and only play on the side with the best champions I can find.",""
"1523236970-279","https://doublelist.com/view/baltimore/cw4m/","Lick my sweet pussy","https://doublelist.com/ads/355007256.html","04/08/2018","Looking for a little nsa fun. I need a good tongue for my pussy. I have a nice mouth waiting for your cock. 
Lets be naughty then go our separate ways.",""
"1523236945-274","https://doublelist.com/view/baltimore/cw4m/","divorced mom...yummy pussy","https://doublelist.com/ads/231572681.html","04/07/2018","I'm 35 and divorced.
I live alone and have my own car so I can travel if needed.
I'll sent a pic once you reply.!","https://doublelist.com/photos/13058/"
