web-scraper-order,web-scraper-start-url,post,post-href,date,content,image-src
"1523237033-285","https://doublelist.com/view/boston/cw4m/","as sweet as honey","https://doublelist.com/ads/125652307.html","04/07/2018","A sensual partner is what you might need on this cold night lets cozy up and explore all over each others bodies i want to spark some flames",""
"1523237243-327","https://doublelist.com/view/boston/cw4m/","another committed relationship_____?","https://doublelist.com/ads/377611883.html","04/07/2018","I moved to together with my now ex husband for his study,
only to catch him cheating on me. For now I don't wanna fix myself into yet another committed relationship,
just have a bit of fun and see where it goes.
I am a beautiful woman, physically fit, and I do not have children.
If you are interested, contact me...... Send your number",""
"1523237038-286","https://doublelist.com/view/boston/cw4m/","strap on fun","https://doublelist.com/ads/720028530.html","04/07/2018","Do you love anal play or have you always wanted to try it but never felt comfortable bringing it up here's your opportunity there's nothing hotter to me than filling a guy with indescribable pleasure. If you're new to this, we can go slow as you figure things out. If you're a pro, you can command me to pound you as you wish, and i will comply. Can be a one time event or ongoing. If you're interested, keep reading... I'm an attractive, thin blonde. I have large and natural breasts. I'm an educated professional and will be discreet with all responses. I have a medium sized strap on though you are welcome to provide your own we can try other starter toys if you're new to this. If you are interested, you must send a clear face photo, a dick picture, and a full body shirtless picture. You'll only get my photos if you send the required photos. No exceptions. Also, let me know what your level of experience is with anal play. You must be clean and disease free. I do not have any specific requirements regarding age provided you are at least 22 , race, dick size, or body type. I can host or travel. My schedule is relatively flexible. I hope to hear from you soon",""
"1523237218-322","https://doublelist.com/view/boston/cw4m/","62 year old widow Not much to say with big natural breasts lets play","https://doublelist.com/ads/141641420.html","04/07/2018","I'm Still sexy widow and feeling so horny, I've been masturbating up to 3 times a week, but I want sex for real. I own plenty of sex toys etc, but it's not the same as a good nice cock.I'll lick your cock and tongue your balls for however long you'd want me to, then I'd love you to worship my breasts & then maybe I could sit on your face as You tongue-fuck me and swallow all my juices, give me a golden shower, anything else your kinky heart desires. I would love to be your sex-pal on a regular, long term basis. Weekday mornings, afternoons or evenings. No comitments/jealousies either way. Just us enjoying each other in every sexy way also.",""
"1523237338-346","https://doublelist.com/view/boston/cw4m/","regular text friend","https://doublelist.com/ads/310901147.html","04/08/2018","Regular text friend. Someone that enjoys texting and getting to know others. Mature men. Serious only please",""
"1523237083-295","https://doublelist.com/view/boston/cw4m/","cum and play","https://doublelist.com/ads/547595352.html","04/07/2018","Need me to come by 
amazing suckoff 
all holes can be filled 
be sweet and i'm sweeter",""
"1523237153-309","https://doublelist.com/view/boston/cw4m/","business is over it's time to play texts only pls","https://doublelist.com/ads/839845921.html","04/07/2018","Ready to play. I'm just a text away. Fulfill your most erotic xxx desires..... It will be our little secret. Uber discreet moonlighting gradstudent with insatiable xxx appetites. Please no emails im independent... Can't handle the volume by myself of both methods of communication.... So please text me",""
"1523237163-311","https://doublelist.com/view/boston/cw4m/","classy blonde for gentleman","https://doublelist.com/ads/638775004.html","04/06/2018","Sweet treats for a real gentleman. I'm real and so are my pics so let's see what we can make happen. You must host. I drive myself and prefer discretion. Just tell me when",""
"1523237023-283","https://doublelist.com/view/boston/cw4m/","fwb","https://doublelist.com/ads/540651235.html","04/07/2018","I'm not into a bunch of one night stands, so i'm looking for 1 man that wants a continuous fwb relationship. I'm real and not wanting money unless you want to wine and dine me, i'm down for that lol i'm 29, 5'3, not thin, but not obese, 38ddd, 420 friendly, i'm married but he knows, is ok with this, and will have nothing to do with our relationship at all. I don't need to be discreet, but if you do that's ok with me. As far as what i'm looking for you definitely need to be completely disease free, safe play only until we build a trusting relationship, and not into hard drugs, although i'd love to be able to smoke together. Race and size isn't too important to me as long as you're attractive, and present yourself well. Ill be honest, i do tend to be a little shallow with looks. There has to be some attraction there, and you have to be able to hold a conversation. I need someone i can click with on an intellectual level too. Reply with a face pic, and what exactly you're looking for. No pic, no reply.",""
"1523237343-347","https://doublelist.com/view/boston/cw4m/","*** BBW~ looking)) 4(( a FWB??","https://doublelist.com/ads/345686295.html","04/08/2018","Lets be friends....friends that have sex on a semi regular basis. I am a large Hispanic woman that loves to suck. I also enjoy being spanked and fucked hard. Please be clean, I am and would like to stay that way. I will not host but I can come to you.",""
