web-scraper-order,web-scraper-start-url,post,post-href,date,content,image-src
"1523237516-376","https://doublelist.com/view/washington_dc/cw4m/","Black man for wife","https://doublelist.com/ads/692309440.html","04/07/2018","Older male with younger wife 29.  Have thought of her taking a lover longterm",""
"1523237576-388","https://doublelist.com/view/washington_dc/cw4m/","Still sexy widow a man wanted for Unique friendship","https://doublelist.com/ads/576910254.html","04/07/2018","I'm Still sexy widow and feeling so horny, I've been masturbating up to 3 times a week, but I want sex for real. I own plenty of sex toys etc, but it's not the same as a good nice cock.I'll lick your cock and tongue your balls for however long you'd want me to, then I'd love you to worship my breasts & then maybe I could sit on your face as You tongue-fuck me and swallow all my juices, give me a golden shower, anything else your kinky heart desires. I would love to be your sex-pal on a regular, long term basis. Weekday mornings, afternoons or evenings. No comitments/jealousies either way. Just us enjoying each other in every sexy way also.",""
"1523237481-369","https://doublelist.com/view/washington_dc/cw4m/","tryna find a cute myspace emo boy","https://doublelist.com/ads/120355687.html","04/07/2018","20 and bored and looking for a cute emo boy lmao to netflix and chill
or just a cute boy idk myspace emo is just a plus 
will send pics if you send yours 
ðŸ˜‡",""
"1523237591-391","https://doublelist.com/view/washington_dc/cw4m/","Watch her with me","https://doublelist.com/ads/158127138.html","null","null",""
"1523237446-362","https://doublelist.com/view/washington_dc/cw4m/","wanna play with candy","https://doublelist.com/ads/836011016.html","04/06/2018","Hey guys 
i'm emilee i'm 22 with a slim build nice face i'm open to try new things love older white men 420 friendly and drama free , i'm looking for some fun if u wanna come play email me wen can set something up",""
"1523237581-389","https://doublelist.com/view/washington_dc/cw4m/","Wife needs a stud","https://doublelist.com/ads/538491093.html","04/07/2018","I am looking for a man not afraid to get a little rough with my 27 yo wife. She has said she wants another man, but always backs out at the last minute. With that being said, message me to set up a situation that will have her saying yes all night long. Will respond with pictures.",""
"1523237521-377","https://doublelist.com/view/washington_dc/cw4m/","Married Beautiful Soul","https://doublelist.com/ads/499342947.html","04/07/2018","Fun, Like Bowling, Coffee date lol more like ice coffee, Movies, Just to get to know an individual before going on a second adventure.",""
"1523237496-372","https://doublelist.com/view/washington_dc/cw4m/","married for married","https://doublelist.com/ads/586690134.html","04/06/2018","I am seeking a married man who is clean, educated, respectful, mature, attractive, funny and sane. Someone who is understanding about not meeting at first while we get to know each other. Please be discreet. Reply with a photo of yourself and some information about you. No photo no reply. Kik is a plus. Put in the subject line your profession",""
"1523237426-358","https://doublelist.com/view/washington_dc/cw4m/","big men wanted","https://doublelist.com/ads/420056360.html","04/07/2018","I'm looking for a few big stocky well hung men that enjoy being sucked. Prefer white or hispanic men who are big and thick.",""
"1523237511-375","https://doublelist.com/view/washington_dc/cw4m/","sexy lil bombshell for adventure","https://doublelist.com/ads/635390116.html","04/06/2018","I'm a adventurous bi sensual woman. I'm into cuddling and wild sex all in the same night. I enjoy fun hot adventures with friends and enjoy new adventures with new playmates too. I really like to party and am a previous stripper dancer that's taught me the way to enjoy many alluring adventures i'm open for all types of sexual experiences, i love to be the center of attention and revel in a good party let's trade cell numbers and pictures. I cannot wait to hook up with someone",""
"1523237606-394","https://doublelist.com/view/washington_dc/cw4m/","My Husband don't like my ass","https://doublelist.com/ads/369505474.html","null","null",""
"1523237501-373","https://doublelist.com/view/washington_dc/cw4m/","need your ass licked","https://doublelist.com/ads/557421703.html","04/07/2018","I'm looking to try something new... I want you to be clean and sane... I'm very safe and respectful as well as private. I just want a masculine ass in my face to make me feel like the little girl i am. You be in shape.. Disease free and ready to have ass ate and cock sucked to completion.",""
"1523237396-352","https://doublelist.com/view/washington_dc/cw4m/","lonley, horney. looking for 50 plus.must like to give and receive or","https://doublelist.com/ads/283178546.html","04/07/2018","lonley, horney. Looking for 50 plus. Must like to give and receive oral. Over 6'. Please. I can't host. The kinker the better.",""
"1523237416-356","https://doublelist.com/view/washington_dc/cw4m/","tonight suck and swallow","https://doublelist.com/ads/785902073.html","04/06/2018","30 yo here.. Any guys interested in getting sucked swallowed and maybe fuck.. Send body pic and what part of town you're in. Looking for discreet encounter.. Will travel to you if not too far..",""
"1523237536-380","https://doublelist.com/view/washington_dc/cw4m/","Im Hot yummy Ready for U!!","https://doublelist.com/ads/421583082.html","04/07/2018","Im looking for the men that has alot of stress built up and they need a release. Im hot and ready waiting to please you. Im very clean and very discreet. Please reply with a picture.",""
"1523237461-365","https://doublelist.com/view/washington_dc/cw4m/","while u are out","https://doublelist.com/ads/379381269.html","04/06/2018","Mmm mmm mmm good, till the last drop... Come, sit back get relaxed for the weekend",""
"1523237391-351","https://doublelist.com/view/washington_dc/cw4m/","married for married fwb","https://doublelist.com/ads/848422927.html","04/07/2018","I'm here. No time for games. It's late already and i work in the night. Who is packing and ready to get down to business. Young woman, looking for a group of people for great sex. Serious replay me.",""
"1523237441-361","https://doublelist.com/view/washington_dc/cw4m/","tonight only","https://doublelist.com/ads/648158070.html","04/06/2018","Hey there attractive petite white chick here looking for some car play tonight. I'm a little behind on bills and looking to meet someone for a little help. I'm in north houston. If this sounds like something you would be interested reply with your pic as will i. Looking to meet tonight only dff as should you be. Gifts are a must",""
"1523237386-350","https://doublelist.com/view/washington_dc/cw4m/","fwb","https://doublelist.com/ads/637578662.html","04/07/2018","I am not sure if this is the right place to look, but i am looking for a fwb who can also be my 420 guy. Finding a someone is more important because i am really desperate. I am nineteen years old. I live in central west ish houston area. I am real. Today is january the fifth. Please put a picture in your reply on i will not respond.",""
"1523237526-378","https://doublelist.com/view/washington_dc/cw4m/","SBF BBW seems BBC","https://doublelist.com/ads/483327496.html","04/07/2018","BBW
31
5’6
260lbs
attractive",""
"1523237401-353","https://doublelist.com/view/washington_dc/cw4m/","the blonde hostess with the mostess","https://doublelist.com/ads/552392208.html","04/06/2018","Looking for some fun hit up this natural blonde... Im chloe 29 years old... 125 lbs with a heart shaped butt... Blonde hair and green eyes... I know how to make a man feel... That also, is to me. Email me and lets finish this day off the fun way",""
"1523237586-390","https://doublelist.com/view/washington_dc/cw4m/","Need a dp buddy","https://doublelist.com/ads/425728523.html","null","null",""
"1523237456-364","https://doublelist.com/view/washington_dc/cw4m/","for the night","https://doublelist.com/ads/315807870.html","04/07/2018","Hey. Looking for a non judgemental cuddle buddy. Come over right now single girl who is new to the area... Come protect me.",""
"1523237486-370","https://doublelist.com/view/washington_dc/cw4m/","on the lookout for discreet pleasure.","https://doublelist.com/ads/678315821.html","04/06/2018","I only sleep with guys i'm dating seriously but i'm 24, and kinda over doing the same thing. Usually cause i'm shy. And also most guys bore me lol i'm cute and sweet but i rarely ask for what i want.",""
